project;merge commit;class;original method;Method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right;LOI;Original Sample;result
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperation;void org.elasticsearch.action.support.replication.ReplicationOperation.execute();void org.elasticsearch.action.support.replication.ReplicationOperation.execute(); TYPE_BASED; No; Yes;2887;12684;2484851;240149478;17821502;296852; Yes; Yes; No;12;12;3; [void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 99), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 113), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 119)]; [98, 109]; [113, 98, 99, 101, 119, 108, 110];No;Mining;FALSE POSITIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportReplicationAction;void org.elasticsearch.action.support.replication.TransportReplicationAction$AsyncReplicaAction.doRun();void org.elasticsearch.action.support.replication.TransportReplicationAction$AsyncReplicaAction.doRun(); TYPE_BASED; No; Yes;22;23;761;3851;98248;83886; Yes; No; No;0;0;0; []; [455, 458, 460]; [457, 459];Yes;Mining;FALSE NEGATIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperationTests;void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication();void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication(); TYPE_BASED; No; Yes;5356;28611;3490669;314892605;28409052;258774; Yes; Yes; Yes;88038;48;5; [void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 103) -> void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 125), void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 103) -> void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 126), void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 106) -> void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 116), void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 116) -> void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 125), void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 116) -> void org.elasticsearch.action.support.replication.ReplicationOperationTests.testReplication() (line 126)]; [106, 108, 125, 126]; [116, 103];No;Mining;FALSE POSITIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportIndexAction;org.elasticsearch.action.support.replication.TransportWriteAction$WriteResult org.elasticsearch.action.index.TransportIndexAction.executeIndexRequestOnPrimary(org.elasticsearch.action.index.IndexRequest, org.elasticsearch.index.shard.IndexShard, org.elasticsearch.cluster.action.index.MappingUpdatedAction);org.elasticsearch.action.support.replication.TransportWriteAction$WriteResult org.elasticsearch.action.index.TransportIndexAction.executeIndexRequestOnPrimary(org.elasticsearch.action.index.IndexRequest, org.elasticsearch.index.shard.IndexShard, org.elasticsearch.cluster.action.index.MappingUpdatedAction); TYPE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [196]; [201];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;IndexSettings;void org.elasticsearch.index.IndexSettings.IndexSettings(org.elasticsearch.cluster.metadata.IndexMetaData, org.elasticsearch.common.settings.Settings, java.util.function.Predicate<java.lang.String>, org.elasticsearch.common.settings.IndexScopedSettings);void org.elasticsearch.index.IndexSettings.IndexSettings(org.elasticsearch.cluster.metadata.IndexMetaData, org.elasticsearch.common.settings.Settings, java.util.function.Predicate<java.lang.String>, org.elasticsearch.common.settings.IndexScopedSettings); TYPE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [238]; [246, 269];No;Mining;-
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngine;void org.elasticsearch.index.engine.InternalEngine.InternalEngine(org.elasticsearch.index.engine.EngineConfig);void org.elasticsearch.index.engine.InternalEngine.InternalEngine(org.elasticsearch.index.engine.EngineConfig); TYPE_BASED; No; Yes;4070;19047;3042017;278600718;24730824;222447; Yes; Yes; No;187;6;1; [void org.elasticsearch.index.engine.InternalEngine.<init>(org.elasticsearch.index.engine.EngineConfig) (line 134) -> void org.elasticsearch.index.engine.InternalEngine.<init>(org.elasticsearch.index.engine.EngineConfig) (line 162)]; [134]; [161, 162, 163, 164];No;Mining;FALSE POSITIVE
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngineTests;void org.elasticsearch.index.engine.InternalEngineTests.testRecoverFromForeignTranslog();void org.elasticsearch.index.engine.InternalEngineTests.testRecoverFromForeignTranslog(); TYPE_BASED; No; Yes;5310;27818;3093210;278305923;26614199;213525; No; -; -; -; -; -; -; [2091]; [2124];No;Mining;TRUE NEGATIVE
orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;Orient;Orient com.orientechnologies.orient.core.Orient.startup();Orient com.orientechnologies.orient.core.Orient.startup(); TYPE_BASED; No; Yes;551;1608;73458;1576417;243058;94372; Yes; Yes; Yes;33;8;2; [com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 158) -> com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 191), com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 191) -> com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 158)]; [191]; [158];No;Roberto;FALSE POSITIVE
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;SlangImpl;Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes();Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes(); TYPE_BASED; No; Yes;711;2562;105492;1843085;121758;89129; Yes; Yes; No;174;6;3; [java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 123), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 124), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 125)]; [116]; [123, 124, 125];Yes;Leuson;TRUE POSITIVE
java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;Faker;void com.github.javafaker.Faker.Faker(Locale, Random);void com.github.javafaker.Faker.Faker(Locale, Random); TYPE_BASED; No; Yes;3473;22018;3467954;404716081;40418110;317973; Yes; Yes; Yes;19;14;4; [void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 59) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 69) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 59), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 69)]; [69, 59]; [70];No;Guilherme;FALSE POSITIVE
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;AutoConfigurationReportLoggingInitializer;void org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer.logAutoConfigurationReport(boolean);void org.springframework.boot.autoconfigure.logging.AutoConfigurationReportLoggingInitializer.logAutoConfigurationReport(boolean); TYPE_BASED; No; Yes;303;812;43920;958736;128466;89129; No; -; -; -; -; -; -; [114]; [110];Yes;DeSouza;FALSE NEGATIVE
spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;UndertowEmbeddedServletContainerFactory;DeploymentManager org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.createDeploymentManager(ServletContextInitializer);DeploymentManager org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.createDeploymentManager(ServletContextInitializer); TYPE_BASED; No; Yes;234;521;19836;436742;100974;83886; No; -; -; -; -; -; -; [357, 358, 359, 360, 345, 361, 362]; [364];No;DeSouza;TRUE NEGATIVE
spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;TomcatEmbeddedServletContainerFactory;void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.customizeConnector(Connector);void org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory.customizeConnector(Connector); TYPE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [240, 241, 242, 243, 244, 246, 247, 248, 249]; [228];No;DeSouza;-
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;SpringBootServletInitializer;WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext);WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext); TYPE_BASED; No; Yes;1306;10025;538837;35341441;1146909;199229; No; -; -; -; -; -; -; [87]; [88];No;DeSouza;TRUE NEGATIVE
spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;MongoProperties;com.mongodb.MongoClientOptions.Builder org.springframework.boot.autoconfigure.MongoProperties.builder(com.mongodb.MongoClientOptions);com.mongodb.MongoClientOptions.Builder org.springframework.boot.autoconfigure.MongoProperties.builder(com.mongodb.MongoClientOptions); TYPE_BASED; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [272]; [261, 262, 263, 264, 265, 266, 267, 268, 271];No;DeSouza;-
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchive;URL org.springframework.boot.loader.archive.ExplodedArchive.getUrl();URL org.springframework.boot.loader.archive.ExplodedArchive.getUrl(); TYPE_BASED; No; Yes;198;336;16256;108411;100857;83886; No; -; -; -; -; -; -; []; [];No;Mining;TRUE NEGATIVE
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchiveTests;void org.springframework.boot.loader.archive.ExplodedArchiveTests.getUrl();void org.springframework.boot.loader.archive.ExplodedArchiveTests.getUrl(); TYPE_BASED; No; Yes;78;124;3637;21298;95034;83886; No; -; -; -; -; -; -; []; [];No;Mining;TRUE NEGATIVE
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;SpringBootServletInitializer;WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext);WebApplicationContext org.springframework.boot.context.web.SpringBootServletInitializer.createRootApplicationContext(ServletContext); TYPE_BASED; No; Yes;1306;10025;538837;35341441;1146079;193986; Yes; No; No;0;0;0; []; [99]; [121, 123];No;DeSouza;TRUE NEGATIVE
