project;class;method;merge commit;Confluence Inter;OA Inter;left right DFP-Inter;right left DFP-Inter;left right PDG;right left PDG;Time;LOI;result
antlr4;Python2Target;python2Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;false;false;false;false;false;false;20.272;-;
antlr4;Python3Target;python3Keywords;69ff2669eec265e25721dbc27cb00f6c381d0b41;false;false;false;false;false;false;20.003;-;
druid;S3SegmentPusher;push;05168808c278c080c59c19e858d9471b316cd1f5;false;false;false;false;false;true;20.673;No;FALSE POSITIVE
netty;LengthFieldBasedFrameDecoder;decode;193acdb36cd3da9bfc62dd69c4208dff3f0a2b1b;false;false;false;false;false;true;30.688;Yes;TRUE POSITIVE
OpenTripPlanner;MultiShortestPathTree;dominates;4c506dce43775704919d084f0acfba86d251bf4a;false;false;false;false;true;false;25.495;Yes;TRUE POSITIVE
webbit;WebSocketClient;adjustPipelineToWebSocket;74d2d2b87704d003acacb34e4ca8fb5f897b938f;false;false;false;false;false;false;26.06;No;TRUE NEGATIVE
resty-gwt;DirectRestServiceInterfaceClassCreator;getMethodCallback;867b917c43c32acbdcac55767e7f04334006c866;false;false;false;false;false;true;17.623;Yes;TRUE POSITIVE
storm;KafkaSpout;open;ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;18.351;No;TRUE NEGATIVE
storm;KafkaSpoutConfig;KafkaSpoutConfig;ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;17.983;No;TRUE NEGATIVE
storm;KafkaSpoutConfig;toString;ad2be678831b3b060229fd936e3908110162b7ac;false;false;false;false;false;false;19.401;Yes;FALSE NEGATIVE
storm;KafkaSpout;emitTupleIfNotEmitted;bd1f5c54752f67b484a83c26667331234234d3a3;false;false;false;false;true;true;20.449;No;FALSE POSITIVE
swagger-maven-plugin;AbstractReader;hasValidAnnotations;e825a7fdc6ef688f1253b93d2cb236e710acfc56;false;false;false;false;false;false;19.17;-;
jsoup;HttpConnection;execute;a8b6982de98ff76ef254031d7152fff57f6bf941;false;false;false;false;false;false;37.042;Yes;FALSE NEGATIVE
jsoup;HttpConnection;createConnection;fee4762322f85a1109edd75ccb67f38cf5008c80;false;false;false;false;false;false;21.119;No;TRUE NEGATIVE
jsoup;HttpConnection;execute;3f7d2c71dbbbb289c684f339874eed8ac2747fa0;false;false;false;false;false;true;32.218;Yes;TRUE POSITIVE
jsoup;TextNode;outerHtmlHead;a44e18aa3c1fcd25a68a5965f9490d8f7d026509;false;false;true;true;false;true;23.264;Yes;TRUE POSITIVE
retrofit;RestAdapter;logAndReplaceResponse;2b6c719c6645f8e48dca6d0047c752069d321bc4;false;true;true;true;false;false;21.787;Yes;TRUE POSITIVE
retrofit;RestAdapter;logAndReplaceRequest;2b6c719c6645f8e48dca6d0047c752069d321bc4;false;true;true;true;false;false;21.718;Yes;TRUE POSITIVE
retrofit;RequestBuilder;build;71f622ce51031b152a0be6ad5facfb27a654bf5a;false;false;false;false;true;false;22.511;Yes;TRUE POSITIVE
activiti;DeploymentEntityManager;deleteDeployment;50d8e43eb5917c63abfbcdec1e68e510943f325a;false;false;true;true;false;true;53.932;Yes;TRUE POSITIVE
activiti;UserTaskActivityBehavior;execute;bf46684ba62f5883673ea8fb0a14aecfe0aedea2;true;true;true;true;false;true;63.873;Yes;TRUE POSITIVE
okhttp;GzipSource;consumeHeader;1151c9853ccc3c9c3211c613b9b845b925f8c6a6;true;true;false;false;false;true;45.68;No;FALSE POSITIVE
okhttp;OkHttpClient;copyWithDefaults;35166168529bd27281685e56a0a122eff44460e9;false;false;false;false;false;false;17.813;No;TRUE NEGATIVE
HikariCP;HikariConfig;validate;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;false;false;false;false;false;false;20.689;Yes;FALSE NEGATIVE
HikariCP;HikariPool;addConnection;1bca94af9ec625f21d1b58ff10efb5be71ab87a6;false;false;true;false;true;true;22.947;Yes;TRUE POSITIVE
pushy;PushManager;handleConnectionFailure;58901c846e4f0874977c5aabbc34bcb4de3670e0;false;false;false;false;false;false;19.716;No;TRUE NEGATIVE
pushy;PushManager;handleConnectionClosure;58901c846e4f0874977c5aabbc34bcb4de3670e0;false;false;false;false;false;false;20.559;No;TRUE NEGATIVE
java-faker;Faker;Faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;false;false;false;false;false;false;20.729;No;TRUE NEGATIVE
swagger-core;OperationParser;getSchemaFromAnnotation;e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2;false;false;false;false;false;false;21.96;No;TRUE NEGATIVE
