project;merge commit;class;method;result_sdg;result_sa;is_equal;SdgCreated;HasSourcedAndSink;DetailedLineVios;Left;Right;LOI;Original Sample
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;DocWriteResponse;toXContent;FALSE NEGATIVE;TRUE POSITIVE;False; Yes; No; -; [163, 164, 165, 166]; [160];Yes;DeSouza
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;ReplicationOperation;execute;FALSE POSITIVE;FALSE POSITIVE;True; Yes; Yes; [void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 99), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 113), void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 98) -> void org.elasticsearch.action.support.replication.ReplicationOperation.execute() (line 119)]; [98, 109]; [113, 98, 99, 101, 119, 108, 110];No;Mining
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;TransportReplicationAction;doRun;FALSE NEGATIVE;TRUE POSITIVE;False; Yes; Yes; []; [455, 458, 460]; [457, 459];Yes;Mining
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngine;InternalEngine;FALSE POSITIVE;TRUE NEGATIVE;False; Yes; Yes; [void org.elasticsearch.index.engine.InternalEngine.<init>(org.elasticsearch.index.engine.EngineConfig) (line 134) -> void org.elasticsearch.index.engine.InternalEngine.<init>(org.elasticsearch.index.engine.EngineConfig) (line 162)]; [134]; [161, 162, 163, 164];No;Mining
elasticsearch;d896886973660785aac45275ddb110c1a6babc57;InternalEngineTests;testRecoverFromForeignTranslog;TRUE NEGATIVE;FALSE POSITIVE;False; Yes; No; -; [2091]; [2124];No;Mining
orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;Orient;startup;FALSE POSITIVE;TRUE NEGATIVE;False; Yes; Yes; [com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 158) -> com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 191), com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 191) -> com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 158)]; [191]; [158];No;Roberto
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;SlangImpl;getAllEventTypes;TRUE POSITIVE;FALSE NEGATIVE;False; Yes; Yes; [java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 123), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 124), java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 116) -> java.util.Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes() (line 125)]; [116]; [123, 124, 125];Yes;Leuson
java-faker;ca42fcfaf45cae1754c58e02e1d5d2a58ec03561;Faker;Faker;FALSE POSITIVE;TRUE NEGATIVE;False; Yes; Yes; [void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 59) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 69) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 59), void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 70) -> void com.github.javafaker.Faker.<init>(java.util.Locale, java.util.Random) (line 69)]; [69, 59]; [70];No;Guilherme
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;AutoConfigurationReportLoggingInitializer;logAutoConfigurationReport;FALSE NEGATIVE;FALSE NEGATIVE;True; Yes; No; -; [114]; [110];Yes;DeSouza
spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;UndertowEmbeddedServletContainerFactory;createDeploymentManager;TRUE NEGATIVE;TRUE NEGATIVE;True; Yes; No; -; [357, 358, 359, 360, 345, 361, 362]; [364];No;DeSouza
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;SpringBootServletInitializer;createRootApplicationContext;TRUE NEGATIVE;FALSE POSITIVE;False; Yes; No; -; [87]; [88];No;DeSouza
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchive;getUrl;TRUE NEGATIVE;TRUE NEGATIVE;True; Yes; No; -; []; [];No;Mining
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchiveTests;getUrl;TRUE NEGATIVE;TRUE NEGATIVE;True; Yes; No; -; []; [];No;Mining
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;SpringBootServletInitializer;createRootApplicationContext;TRUE NEGATIVE;TRUE NEGATIVE;True; Yes; Yes; []; [99]; [121, 123];No;DeSouza
